Screenshot,image,Film,Scene #,Timestamp,Seconds,,,,
HARD-03810,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03810/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.02650463,2290,,,,
HARD-03813,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03813/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.026539352,2293,,,,
HARD-03815,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03815/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.0265625,2295,,,,
HARD-03819,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03819/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.026608796,2299,,,,
HARD-03831,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03831/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.026747685,2311,,,,
HARD-03835,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03835/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.026793981,2315,,,,
HARD-03847,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03847/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.02693287,2327,,,,
HARD-03849,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03849/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.026956019,2329,,,,
HARD-03859,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03859/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.027071759,2339,,,,
HARD-03938,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03938/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.027523148,2378,,,,
HARD-03942,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03942/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.027569444,2382,,,,
HARD-04002,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04002/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.027800926,2402,,,,
HARD-04025,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04025/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.02806713,2425,,,,
HARD-04108,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04108/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.028564815,2468,,,,
HARD-04239,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04239/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.029618056,2559,,,,
HARD-04257,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04257/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.029826389,2577,,,,
HARD-04304,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04304/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.029907407,2584,,,,
HARD-04319,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04319/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.030081019,2599,,,,
HARD-04321,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04321/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.030104167,2601,,,,
HARD-04335,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04335/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.030266204,2615,,,,
HARD-04340,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04340/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.030324074,2620,,,,
HARD-04358,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-04358/tiles/full/300,169/0/default.jpg",Hard Eight (1996),5,0.030532407,2638,,,,
